,Movie Name,Movie Year,Movie url,Genre,Runtime,Box Office,Critic Ratings,Audience Ratings
228,A Woman Under the Influence,1974,http://www.rottentomatoes.com/m/15567,drama,2h 35m,Not available!,90,92
229,The Last Laugh,1924,http://www.rottentomatoes.com/m/147815131,drama,1h 13m,Not available!,100,88
230,The Conformist,1970,http://www.rottentomatoes.com/m/136193252,drama,1h 55m,Not available!,98,90
231,Ben-Hur,1959,http://www.rottentomatoes.com/m/9402,"adventure,history,drama",3h 23m,Not available!,86,89
232,Life Is Beautiful,1997,http://www.rottentomatoes.com/m/10097,"drama,comedy",2h 2m,57.6M,80,96
233,The Crowd,1928,http://www.rottentomatoes.com/m/337758515,drama,1h 44m,Not available!,96,90
234,The Hidden Fortress,1958,http://www.rottentomatoes.com/m/19475,comedy,2h 19m,Not available!,97,93
235,Before Sunset,2004,http://www.rottentomatoes.com/m/12908,"drama,romance",1h 20m,5.8M,95,91
236,Marriage Story,2019,The url does not exist!,"drama,romance",1h 20m,5.8M,95,91
237,Django Unchained,2012,http://www.rottentomatoes.com/m/771245718,"drama,action,western",2h 45m,162.8M,87,91
238,Network,1976,http://www.rottentomatoes.com/m/16424,"drama,comedy",2h 1m,Not available!,91,93
239,For a Few Dollars More,1965,http://www.rottentomatoes.com/m/60565656,western,2h 12m,Not available!,91,94
240,Pan's Labyrinth,2006,http://www.rottentomatoes.com/m/343934933,"fantasy,drama,war",2h,37.6M,95,91
241,Viridiana,1961,http://www.rottentomatoes.com/m/287449364,drama,1h 30m,Not available!,96,90
242,The Last Picture Show,1971,http://www.rottentomatoes.com/m/13338,drama,1h 58m,Not available!,100,90
243,Ali: Fear Eats the Soul,1974,http://www.rottentomatoes.com/m/347990353,"romance,drama",1h 34m,Not available!,100,91
244,Incendies,2010,http://www.rottentomatoes.com/m/771197495,drama,2h 10m,6.9M,93,92
245,Full Metal Jacket,1987,http://www.rottentomatoes.com/m/16673,"history,drama,war",1h 56m,42.9M,92,94
246,Farewell My Concubine,1993,http://www.rottentomatoes.com/m/13016,drama,2h 37m,2.5M,86,93
247,Touch of Evil,1958,http://www.rottentomatoes.com/m/17060,"mysteryandthriller,drama,crime",1h 35m,Not available!,95,92
248,Fargo,1996,http://www.rottentomatoes.com/m/104762093,"crime,comedy,drama,mysteryandthriller",1h 37m,24.5M,94,93
